Month,Average CRDB Share Price (TSh)
Jan-21,220
Feb-21,217
Mar-21,225
Apr-21,219
May-21,260
Jun-21,275
Jul-21,254
Aug-21,258
Sep-21,251
Oct-21,247
Nov-21,246
Dec-21,260
Jan-22,302
Feb-22,352
Mar-22,358
Apr-22,372
May-22,400
Jun-22,389
Jul-22,392
Aug-22,404
Sep-22,395
Oct-22,382
Nov-22,382
Dec-22,388
Jan-23,392
Feb-23,431
Mar-23,458
Apr-23,522
May-23,493
Jun-23,462
Jul-23,478
Aug-23,466
Sep-23,454
Oct-23,450
Nov-23,463
Dec-23,461
Jan-24,463
Feb-24,502
Mar-24,538
Apr-24,550
May-24,521
Jun-24,512
Jul-24,557
Aug-24,657
Sep-24,662
Oct-24,650
Nov-24,672
Dec-24,656
Jan-25,670
Feb-25,720
Mar-25,765
Apr-25,790
